scenario,region,ICEV,PHEV,BEV,FCEV
normal,EU,0.213,0.213,0.213,0.213
normal,Non EU,0.787,0.787,0.787,0.787
EU100,EU,1,1,1,1
EU100,Non EU,0,0,0,0
EU0,EU,0,0,0,0
EU0,Non EU,1,1,1,1
